rank,name,url,age,height,roles,titles,aliases
77,Elizabeth Debicki,https://pro.imdb.com/name/nm4456120/graph?ref_=nm_mtr,27,6' 3",Actress,The Great Gatsby|Guardians of the Galaxy Vol. 2|The Man from U.N.C.L.E.,
78,Rami Malek,https://pro.imdb.com/name/nm1785339/graph?ref_=nm_mtr,37,5' 9",Actor|Producer|Soundtrack,Mr. Robot|Short Term 12|Need for Speed,
79,Brooke Shields,https://pro.imdb.com/name/nm0000222/graph?ref_=nm_mtr,53,5' 10½",Actress|Producer|Soundtrack,The Blue Lagoon|Pretty Baby|Suddenly Susan,Brookie
80,Minka Kelly,https://pro.imdb.com/name/nm1310368/graph?ref_=nm_mtr,,5' 5",Actress,500 Days of Summer|The Roommate|Just Go with It,
81,Elizabeth Olsen,https://pro.imdb.com/name/nm0647634/graph?ref_=nm_mtr,29,5' 6",Actress|Producer|Soundtrack,Martha Marcy May Marlene|Captain America: Civil War|Avengers: Infinity War,Lizzie Olsen|Lizzie|Liz
82,Nick Robinson,https://pro.imdb.com/name/nm3538718/graph?ref_=nm_mtr,,6' 2",Actor|Soundtrack,Jurassic World|Everything, Everything|Boardwalk Empire,Nick J. Robinson|Nick
83,Brad Pitt,https://pro.imdb.com/name/nm0000093/graph?ref_=nm_mtr,54,5' 11",Actor|Producer|Soundtrack,Mr. &amp; Mrs. Smith|Moneyball|Twelve Monkeys,Weatherman
84,Sylvia Hoeks,https://pro.imdb.com/name/nm1679778/graph?ref_=nm_mtr,35,5' 9",Actress|Soundtrack,Blade Runner 2049|The Best Offer|Whatever Happens,Sylvia Hoecks|Sylvia Hoek
85,Jesse Williams,https://pro.imdb.com/name/nm0930898/graph?ref_=nm_mtr,,6' 1",Actor|Producer|Director,The Cabin in the Woods|Grey's Anatomy|Brooklyn's Finest,J. Wesley Williams
86,Sarah Wayne Callies,https://pro.imdb.com/name/nm0915637/graph?ref_=nm_mtr,41,5' 8¾",Actress|Director|Writer,Prison Break|Into the Storm|Colony,Sarah Callies
87,Astrid Bergès-Frisbey,https://pro.imdb.com/name/nm2793591/graph?ref_=nm_mtr,32,5' 7½",Actress,King Arthur: Legend of the Sword|I Origins|Pirates of the Caribbean: On Stranger Tides,
88,Benedict Cumberbatch,https://pro.imdb.com/name/nm1212722/graph?ref_=nm_mtr,41,6' 0",Actor|Producer|Soundtrack,The Imitation Game|Star Trek: Into Darkness|August: Osage County,Benedikuto Kanbâbatchi|Ben
89,Gal Gadot,https://pro.imdb.com/name/nm2933757/graph?ref_=nm_mtr,33,5' 10¼",Actress|Producer,Wonder Woman|Batman v Superman: Dawn of Justice|Furious 7,
90,Scarlett Johansson,https://pro.imdb.com/name/nm0424060/graph?ref_=nm_mtr,33,5' 3",Actress|Soundtrack|Director,Her|Lost in Translation|The Avengers,Scarlett Johanssen
91,Leonardo DiCaprio,https://pro.imdb.com/name/nm0000138/graph?ref_=nm_mtr,43,6' 0",Actor|Producer|Writer,Inception|The Departed|The Wolf of Wall Street,Leonardo Di Caprio|Leo DiCaprio|Leo
92,Sosie Bacon,https://pro.imdb.com/name/nm1788739/graph?ref_=nm_mtr,26,,Actress,Loverboy|13 Reasons Why|Scream: The TV Series,
93,Natalie Portman,https://pro.imdb.com/name/nm0000204/graph?ref_=nm_mtr,36,5' 3",Actress|Producer|Soundtrack,Black Swan|V for Vendetta|Jackie,Nat
94,Bailee Madison,https://pro.imdb.com/name/nm1933128/graph?ref_=nm_mtr,18,5' 6",Actress|Producer|Soundtrack,Bridge to Terabithia|Brothers|Just Go with It,Bailee Madison Williams Holte|Bail|Bailes
95,Zoe Saldana,https://pro.imdb.com/name/nm0757855/graph?ref_=nm_mtr,39,5' 6½",Actress|Producer|Writer,Avatar|Guardians of the Galaxy|Star Trek,Zoë Saldana|Zoe Saldaña|Zoë Saldaña
96,Dwayne Johnson,https://pro.imdb.com/name/nm0425005/graph?ref_=nm_mtr,46,6' 5¼",Actor|Producer|Soundtrack,Journey 2: The Mysterious Island|Jumanji: Welcome to the Jungle|Moana,Dwayne 'The Rock' Johnson|Dwayne Douglas Johnson|Seiuli Dwayne 'The Rock' Johnson
97,Talulah Riley,https://pro.imdb.com/name/nm1506908/graph?ref_=nm_mtr,32,5' 8¼",Actress|Director|Writer,Westworld|Pride &amp; Prejudice|Inception,
98,Hayley Atwell,https://pro.imdb.com/name/nm2017943/graph?ref_=nm_mtr,36,5' 6½",Actress|Soundtrack,Captain America: The First Avenger|Ant-Man|Captain America: The Winter Soldier,Hayley Attwell
99,Sebastian Stan,https://pro.imdb.com/name/nm1659221/graph?ref_=nm_mtr,35,6' 0¼",Actor,Captain America: Civil War|Captain America: The Winter Soldier|Captain America: The First Avenger,
100,Emily Blunt,https://pro.imdb.com/name/nm1289434/graph?ref_=nm_mtr,35,5' 7",Actress|Soundtrack|Miscellaneous Crew,Edge of Tomorrow|The Devil Wears Prada|The Adjustment Bureau,Em
101,Lily James,https://pro.imdb.com/name/nm4141252/graph?ref_=nm_mtr,29,5' 7",Actress|Soundtrack,Cinderella|Pride and Prejudice and Zombies|Baby Driver,
102,Robert Downey Jr.,https://pro.imdb.com/name/nm0000375/graph?ref_=nm_mtr,53,5' 8½",Actor|Producer|Soundtrack,Iron Man|Sherlock Holmes|Iron Man 3,Bob Downey|Robert Downey|Robert Downey Jr
103,Harrison Ford,https://pro.imdb.com/name/nm0000148/graph?ref_=nm_mtr,75,6' 1",Actor|Writer|Producer,Raiders of the Lost Ark|Witness|The Fugitive,Jethro the Bus Driver|Harrison J. Ford|Harry
104,AnnaSophia Robb,https://pro.imdb.com/name/nm1455681/graph?ref_=nm_mtr,24,5' 0",Actress|Soundtrack,Bridge to Terabithia|Soul Surfer|The Way Way Back,Annasophia Robb
105,Jennifer Jason Leigh,https://pro.imdb.com/name/nm0000492/graph?ref_=nm_mtr,56,5' 3",Actress|Producer|Soundtrack,The Hateful Eight|Dolores Claiborne|Anomalisa,Jennifer Leigh|JJL
106,Alisha Boe,https://pro.imdb.com/name/nm2647981/graph?ref_=nm_mtr,,5' 4",Actress,13 Reasons Why|68 Kill|Casual,
107,Woody Harrelson,https://pro.imdb.com/name/nm0000437/graph?ref_=nm_mtr,56,5' 9½",Actor|Producer|Soundtrack,True Detective|The People vs. Larry Flynt|Natural Born Killers,
108,Chris Evans,https://pro.imdb.com/name/nm0262635/graph?ref_=nm_mtr,36,6' 0",Actor|Producer|Director,The Avengers|Captain America: The First Avenger|Captain America: Civil War,Cevans
109,Bryan Dechart,https://pro.imdb.com/name/nm3260379/graph?ref_=nm_mtr,,6' 0",Actor|Director|Camera and Electrical Department,Detroit: Become Human|The Remaining|Dakota's Summer,
